nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,przejazd_id,kategoria,okresB_id
MPJ 81108/9 WŁÓKNIARZ,16.03,23:22,0.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-16 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,0.0,False,False,2023-03-16 23:13:00,2023-03-16 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-16 23:22:00,B,2023-03-16 22:00
MPJ 81108/9 WŁÓKNIARZ,17.03,23:22,39.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-17 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,39.0,True,True,2023-03-17 23:52:00,2023-03-17 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-17 23:22:00,B,2023-03-17 22:00
MPJ 81108/9 WŁÓKNIARZ,18.03,23:22,0.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-18 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,0.0,False,False,2023-03-18 23:13:00,2023-03-18 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-18 23:22:00,B,2023-03-18 22:00
MPJ 81108/9 WŁÓKNIARZ,19.03,23:22,6.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-19 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,6.0,True,True,2023-03-19 23:19:00,2023-03-19 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-19 23:22:00,B,2023-03-19 22:00
MPJ 81108/9 WŁÓKNIARZ,20.03,23:22,4.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-20 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,4.0,False,False,2023-03-20 23:17:00,2023-03-20 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-20 23:22:00,B,2023-03-20 22:00
MPJ 81108/9 WŁÓKNIARZ,21.03,23:22,0.0,0.0,Łódź Chojny,Łódź Widzew,"('Łódź Chojny', 'Łódź Widzew')",2023-03-21 23:22:00,"('Łódź Chojny', 'Łódź Widzew')",9.0,9.0,0.0,False,False,2023-03-21 23:13:00,2023-03-21 23:00:00,MPJ 81108/9 WŁÓKNIARZ 2023-03-21 23:22:00,B,2023-03-21 22:00
MPM 33112/3 BIESZCZADY,24.03,17:37,4.0,0.0,Dębica,Tarnów,"('Dębica', 'Tarnów')",2023-03-24 17:37:00,"('Dębica', 'Tarnów')",18.0,18.0,4.0,False,False,2023-03-24 17:23:00,2023-03-24 17:00:00,MPM 33112/3 BIESZCZADY 2023-03-24 17:37:00,B,2023-03-24 16:00
MPM 36102/3 SUDETY,13.03,08:19,-1.0,-1.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-13 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,0.0,False,False,2023-03-13 07:59:00,2023-03-13 07:00:00,MPM 36102/3 SUDETY 2023-03-13 08:19:00,B,2023-03-13 06:00
MPM 36102/3 SUDETY,14.03,08:19,-1.0,0.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-14 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,-1.0,False,False,2023-03-14 07:58:00,2023-03-14 07:00:00,MPM 36102/3 SUDETY 2023-03-14 08:19:00,B,2023-03-14 06:00
MPM 36102/3 SUDETY,16.03,08:19,-1.0,-1.0,Katowice,Zabrze,"('Katowice', 'Zabrze')",2023-03-16 08:19:00,"('Katowice', 'Zabrze')",20.0,20.0,0.0,False,False,2023-03-16 07:59:00,2023-03-16 07:00:00,MPM 36102/3 SUDETY 2023-03-16 08:19:00,B,2023-03-16 06:00
