wojewodztwo,data,beta,gamma,blad
warmińsko-mazurskie,20.03,0.0,1.0,0.003296754169183333
warmińsko-mazurskie,21.03,0.8289348622651278,0.28351615571304356,0.0006561612253833997
warmińsko-mazurskie,22.03,0.4766189456103883,0.735540470141999,0.002260538392553248
warmińsko-mazurskie,23.03,0.259532169243052,0.9350500663620328,0.00046392746913580273
warmińsko-mazurskie,24.03,0.1922500529155487,0.40330449102355215,0.0052633012409275615
wielkopolskie,13.03,0.3991243396955021,0.2037336730449176,0.002959062107233071
wielkopolskie,14.03,0.830338247950619,0.8338848997876213,0.0054655996127310775
wielkopolskie,15.03,0.2629092334219154,0.015362515654436644,0.0018530059633466642
wielkopolskie,16.03,0.86847120875333,0.9484997365718317,0.003973984283110153
wielkopolskie,17.03,0.12187810144973328,0.7030895100630128,0.0026569593577112135
wielkopolskie,18.03,0.4050266939469108,0.5874931902098209,0.0028169297012842643
wielkopolskie,19.03,0.08089446334375322,0.16311281778895365,0.002462320492968441
wielkopolskie,20.03,0.6953641934616124,0.2855596171510406,0.0028743827825088324
wielkopolskie,21.03,0.0,1.0,0.0016375543241348572
wielkopolskie,22.03,0.339119228479502,0.15922384314807703,0.002320327972030251
wielkopolskie,23.03,0.0,1.0,0.001787162642284043
wielkopolskie,24.03,0.6631582923475304,0.08872987280152125,0.0033970767349870597
zachodniopomorskie,13.03,0.0985914791026472,0.7952673980226175,0.013442863750451006
zachodniopomorskie,14.03,0.22605627162130906,0.9388097176599864,0.006852281186426207
zachodniopomorskie,15.03,0.7136804179221011,0.4118136318149809,0.011343730104721722
zachodniopomorskie,16.03,0.6559312634072723,0.22158809869460783,0.005663453544458514
zachodniopomorskie,17.03,0.12699183721099927,0.28028202723177414,0.006568156730826261
zachodniopomorskie,18.03,0.5320105870460945,0.3296719235742782,0.0011119485791764197
zachodniopomorskie,19.03,0.6174615210585916,0.11104589609820865,0.018985144864815996
zachodniopomorskie,20.03,0.6120713179407042,0.4258024213853964,0.0074184141590983785
zachodniopomorskie,21.03,0.2529802353308225,0.0,0.008967571277621728
zachodniopomorskie,22.03,0.8462430169610349,0.2302438178511994,0.01021753369020326
zachodniopomorskie,23.03,0.8979750179037636,0.31269493789302805,0.010385137131930114
zachodniopomorskie,24.03,0.3591216637571382,0.4197850227470286,0.005204842662690095
łódzkie,13.03,0.17205705336616628,0.7372323519578873,0.003482429606709947
łódzkie,14.03,0.782587551889338,0.7523130184285047,0.0029780310752830466
łódzkie,15.03,0.24327296314645735,0.881839712677929,0.009746035072165047
łódzkie,16.03,0.0,1.0,0.004353823674551174
łódzkie,17.03,0.2853052770225954,0.0882285865852631,0.0032128250361806577
łódzkie,18.03,0.6890026661880194,0.6281805593715213,0.002392732501382918
łódzkie,19.03,0.24158548054589754,1.0,0.008716179659992837
