nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id,warte_uwagi
EIE 3512/3 PIAST,15.03,20:25,0.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-15 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,1.0,False,False,2023-03-15 20:16:00,2023-03-15 20:00,True
EIE 3512/3 PIAST,16.03,20:05,5.0,1.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-16 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,4.0,False,True,2023-03-16 19:59:00,2023-03-16 19:00,True
EIE 3512/3 PIAST,16.03,20:10,5.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-16 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,5.0,True,True,2023-03-16 20:08:00,2023-03-16 20:00,True
EIE 3512/3 PIAST,16.03,20:15,5.0,0.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-16 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,5.0,True,True,2023-03-16 20:14:00,2023-03-16 20:00,True
EIE 3512/3 PIAST,16.03,20:25,4.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-16 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,5.0,True,False,2023-03-16 20:20:00,2023-03-16 20:00,True
EIE 3512/3 PIAST,17.03,20:05,7.0,2.0,Gdańsk Główny,Gdańsk Wrzeszcz,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-17 20:05:00,"('Gdańsk Główny', 'Gdańsk Wrzeszcz')",10.0,33.0,5.0,True,True,2023-03-17 20:00:00,2023-03-17 20:00,True
EIE 3512/3 PIAST,17.03,20:10,7.0,0.0,Gdańsk Wrzeszcz,Gdańsk Oliwa,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-17 20:10:00,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",7.0,33.0,7.0,True,True,2023-03-17 20:10:00,2023-03-17 20:00,True
EIE 3512/3 PIAST,17.03,20:15,7.0,0.0,Gdańsk Oliwa,Sopot,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-17 20:15:00,"('Gdańsk Oliwa', 'Sopot')",6.0,33.0,7.0,True,True,2023-03-17 20:16:00,2023-03-17 20:00,True
EIE 3512/3 PIAST,17.03,20:25,6.0,-1.0,Sopot,Gdynia Główna,"('Gdańsk Główny', 'Gdynia Główna')",2023-03-17 20:25:00,"('Sopot', 'Gdynia Główna')",10.0,33.0,7.0,True,True,2023-03-17 20:22:00,2023-03-17 20:00,True
EIE 3512/3 PIAST,18.03,15:21,22.0,-1.0,Oborniki Śląskie,Żmigród,"('Oborniki Śląskie', 'Leszno')",2023-03-18 15:21:00,"('Oborniki Śląskie', 'Żmigród')",13.0,42.0,23.0,True,True,2023-03-18 15:31:00,2023-03-18 15:00,True
EIE 3512/3 PIAST,18.03,15:32,25.0,3.0,Żmigród,Rawicz,"('Oborniki Śląskie', 'Leszno')",2023-03-18 15:32:00,"('Żmigród', 'Rawicz')",11.0,42.0,22.0,True,True,2023-03-18 15:43:00,2023-03-18 15:00,True
EIE 3512/3 PIAST,18.03,15:50,25.0,0.0,Rawicz,Leszno,"('Oborniki Śląskie', 'Leszno')",2023-03-18 15:50:00,"('Rawicz', 'Leszno')",18.0,42.0,25.0,True,True,2023-03-18 15:57:00,2023-03-18 15:00,True
EIE 3512/3 PIAST,18.03,16:06,25.0,0.0,Leszno,Kościan,"('Leszno', 'Poznań Główny')",2023-03-18 16:06:00,"('Leszno', 'Kościan')",16.0,42.0,25.0,True,True,2023-03-18 16:15:00,2023-03-18 16:00,True
EIE 3512/3 PIAST,18.03,16:32,25.0,0.0,Kościan,Poznań Główny,"('Leszno', 'Poznań Główny')",2023-03-18 16:32:00,"('Kościan', 'Poznań Główny')",26.0,42.0,25.0,True,True,2023-03-18 16:31:00,2023-03-18 16:00,True
EIE 3512/3 PIAST,18.03,20:00,99.0,11.0,Tczew,Gdańsk Główny,"('Tczew', 'Gdańsk Główny')",2023-03-18 20:00:00,"('Tczew', 'Gdańsk Główny')",18.0,18.0,88.0,True,True,2023-03-18 21:10:00,2023-03-18 21:00,True
