wojewodztwo,data,beta,gamma,blad
małopolskie,20.03,0.9559845934754003,0.6231940269586144,0.10397894091495581
małopolskie,21.03,0.9697677904433124,0.7458939196329685,0.02373395156975206
małopolskie,22.03,0.9819619631790601,0.7202422118096943,0.018421561782919246
małopolskie,23.03,1.0,0.727712962267365,0.020444617564629286
małopolskie,24.03,1.0,0.726071325045667,0.042271302844727666
opolskie,13.03,0.5481050820470023,0.051253232721913,0.1651482509756658
opolskie,14.03,0.765905440768188,0.47597125701270343,0.18259864108254265
opolskie,15.03,0.5650350672300275,0.27198965851573054,0.11864403823589434
opolskie,16.03,1.0,0.8136356364706047,0.051302187139483854
opolskie,17.03,0.9534389891935625,0.9431497007834262,0.2646270087235997
opolskie,18.03,1.0,0.7848887352435212,0.05984507286495142
opolskie,19.03,0.17247926340424968,0.3049092868137756,0.1435971873059786
opolskie,20.03,0.5660580201234947,0.8030043384495473,0.22119260789715334
opolskie,21.03,0.6225084694973777,0.5301062529539788,0.03226435437162706
opolskie,22.03,0.2455968013268426,0.47302287147246624,0.22904155267957355
opolskie,23.03,0.4932265410152309,0.6573145454706522,0.1500468447097235
opolskie,24.03,0.8343557647286999,0.4184856208887206,0.18263662294195307
podkarpackie,13.03,0.9450702255399774,0.9409974283114697,0.0056204471022312805
podkarpackie,14.03,0.09784844589009156,0.1363450769092591,0.013247535905140407
podkarpackie,15.03,0.8839795683583695,0.8729279261066374,0.012689627442928305
podkarpackie,16.03,1.0,0.9393249550002339,0.020464199456498786
podkarpackie,17.03,0.5779189978846181,0.5286971003330148,0.011313416709934016
podkarpackie,18.03,0.7709979369741002,0.15197084596421073,0.0384533351484425
podkarpackie,19.03,0.9838021982404122,0.9401661167206468,0.019931036096335442
podkarpackie,20.03,0.9824213726079014,0.93351580792603,0.020139438347216685
podkarpackie,21.03,0.2684133846976558,0.27388765780530655,0.012863781828211632
podkarpackie,22.03,0.0,0.04138966503502037,0.006030615328789592
podkarpackie,23.03,0.0,0.020105617869484005,0.008888181450009969
podkarpackie,24.03,0.0888339527333824,0.09545611766287662,0.016571981335577822
podlaskie,13.03,0.9909458884969788,0.9938328362461262,0.02313550277891974
podlaskie,14.03,0.0,0.00663466951722989,0.013881437736014066
podlaskie,15.03,0.8505367962502812,0.8169632406980887,0.02576769119366054
podlaskie,16.03,0.7856214820252201,0.7365909285230128,0.02954632933723562
podlaskie,17.03,0.9456339849613316,0.9720988647931517,0.02310553291021554
podlaskie,18.03,0.9343495100964938,1.0,0.04137091879980516
podlaskie,19.03,0.7060923561009219,0.646526651847872,0.05033842343710638
podlaskie,20.03,0.030667585365495027,0.0,0.017214992321042677
podlaskie,21.03,1.0,0.9471489965596837,0.028908697550369178
podlaskie,22.03,0.9925460973901813,1.0,0.03825253016043885
podlaskie,23.03,1.0,0.9297107243501206,0.044970345605433525
podlaskie,24.03,1.0,0.8766717644356812,0.05304887930102688
pomorskie,13.03,0.958856103839867,0.6557418834822866,0.04834897225427376
pomorskie,14.03,0.39789537212582254,0.7841851910149233,0.040842335045580234
pomorskie,15.03,0.9139506949278349,0.5257476070726235,0.03595780471547407
pomorskie,16.03,0.01665412630472793,0.11333534619179503,0.04581885472902972
pomorskie,17.03,0.023306828041625184,0.6006654928827838,0.053960493241449234
pomorskie,18.03,0.9043215874408717,0.9503273661503197,0.04050831960795097
pomorskie,19.03,0.3278722822091871,0.5115043036016442,0.04367574326119832
pomorskie,20.03,0.5604962938560203,0.0,0.03005125563230977
pomorskie,21.03,0.9159357644747915,0.33725340590178937,0.03680645728933852
pomorskie,22.03,0.15273564990676927,0.04536868746699285,0.03641584575137781
pomorskie,23.03,0.051691679881261485,0.12689921605536575,0.04971377827671308
pomorskie,24.03,0.6841193098534504,0.7249465462242706,0.05067795772943343
warmińsko-mazurskie,13.03,0.2587129084435239,0.659301106294145,0.10508102407564951
warmińsko-mazurskie,14.03,0.2331680918529102,0.13017224343299263,0.06619057962172412
warmińsko-mazurskie,15.03,0.0,0.22628253414685406,0.055611032840439126
warmińsko-mazurskie,16.03,0.7542013216214181,0.18926765502123952,0.05967572894639336
warmińsko-mazurskie,17.03,0.8941419672443643,0.47087878693615337,0.06515055080449839
warmińsko-mazurskie,18.03,0.9851451175779508,0.9713988099648724,0.006629942240374302
warmińsko-mazurskie,19.03,0.0415241568923325,0.5337305558052667,0.04353540454622663
warmińsko-mazurskie,20.03,1.0,0.9243449753062889,0.012539579144042122
warmińsko-mazurskie,21.03,0.16758489050841746,0.6808320011791829,0.05852921366150879
warmińsko-mazurskie,22.03,0.8076609177812597,0.817469926257659,0.056701694823400005
warmińsko-mazurskie,23.03,0.4380332201350149,0.0,0.046619607034182504
warmińsko-mazurskie,24.03,0.5607204565525317,0.8456707922177822,0.08086903630250687
wielkopolskie,13.03,0.7118399388302812,0.6525606659785592,0.008880339241256118
wielkopolskie,14.03,0.9903221135126061,1.0,0.02251719632155725
wielkopolskie,15.03,0.0,0.00025634152720237224,0.00749672625574903
wielkopolskie,16.03,0.6906417092147991,0.6458828229103146,0.0083187229521367
wielkopolskie,17.03,0.6305227788683527,0.3430806919769074,0.12145814423792684
wielkopolskie,18.03,0.9851183724647334,0.9371295591314218,0.0059566366711352094
wielkopolskie,19.03,0.11915258466955861,0.13931217933292506,0.005479573774581022
wielkopolskie,20.03,0.3013581191090068,0.2799050093086123,0.00695551627399889
wielkopolskie,21.03,0.9838116667748993,1.0,0.014296244833355379
wielkopolskie,22.03,0.9926263087873101,1.0,0.016829291835771136
wielkopolskie,23.03,1.0,0.9688462657539728,0.00937867523736465
wielkopolskie,24.03,0.14946547295613402,0.1526125452209198,0.010243401713041547
zachodniopomorskie,13.03,0.9904018385449462,0.8391475695829985,0.05492368467695247
zachodniopomorskie,14.03,1.0,0.825396903476658,0.01708280028246688
zachodniopomorskie,15.03,0.6353092917870157,0.5814217041985406,0.025499245630426055
zachodniopomorskie,16.03,1.0,0.8616216549649504,0.052312284211162186
zachodniopomorskie,17.03,1.0,0.8506831034940155,0.03446068543747101
zachodniopomorskie,18.03,1.0,0.8643549657518315,0.04800834860491075
zachodniopomorskie,19.03,0.9975782086238323,0.9712388974275232,0.044471323289636135
zachodniopomorskie,20.03,1.0,0.8203952491607508,0.04616929379426997
zachodniopomorskie,21.03,0.6546509705324595,0.11066441523704866,0.1697980535368066
zachodniopomorskie,22.03,1.0,0.8308093600166959,0.03829158076694426
zachodniopomorskie,23.03,1.0,0.8626913247286931,0.0301254866976031
zachodniopomorskie,24.03,1.0,0.8961343473481378,0.023252092958740055
łódzkie,13.03,0.13959818172622512,0.9089946750762397,0.09221899724844546
łódzkie,14.03,0.22435967053859965,0.8111246081599093,0.09628306462463511
łódzkie,15.03,0.2227702123998207,0.9098171125234109,0.098131413114232
łódzkie,16.03,1.0,0.9769284575180291,0.0282566024861336
łódzkie,17.03,0.8662884320992374,0.6016333217308945,0.09089380120368684
łódzkie,18.03,0.16929090808987013,0.16571548929414726,0.01236043392922482
łódzkie,19.03,1.0,0.9437714242485123,0.03125354287328042
łódzkie,20.03,0.7641126283105308,0.03799320019314879,0.06671536589738458
łódzkie,21.03,0.13860106381192466,0.31286183243449606,0.06929677719283894
łódzkie,22.03,0.9897878652861913,0.8995036196917143,0.014527675613317878
łódzkie,23.03,0.8635282593073349,0.8040090076962463,0.010710795938048119
łódzkie,24.03,0.18202041286043494,0.9885503231439055,0.10665752560280783
śląskie,13.03,0.06615724262613445,0.8697718033329679,0.08383965007813826
śląskie,14.03,0.6826299105955806,0.5581752016446024,0.06679904277290041
śląskie,15.03,0.9761403004146896,0.36281888266467655,0.08452346151083172
śląskie,16.03,0.5022996914553378,0.5515672560680003,0.06501480051054938
