nazwa_pociagu,data,czas_rozkladowy,opoznienie,opoznienie_netto,stacja_wyjazdu,stacja_przyjazdu,super_krawedz,data_czas_rozkładowy,mini_krawedz,czas_przejazdu_mini_krawedz,czas_przejazdu_super_krawedz,opoznienie_poczatkowe,czy_opoznienie_wyjazd,czy_opoznienie_przyjazd,rzeczywisty_czas_wyjazdu,okres_id
EIE 5312/3 PIAST,13.03,08:15,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-13 08:15:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-13 08:09:00,2023-03-13 08:00
EIE 5312/3 PIAST,13.03,08:35,0.0,0.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-13 08:35:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-13 08:15:00,2023-03-13 08:00
EIE 5312/3 PIAST,14.03,07:56,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-14 07:56:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-14 07:46:00,2023-03-14 07:00
EIE 5312/3 PIAST,14.03,08:02,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-14 08:02:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-14 07:57:00,2023-03-14 07:00
EIE 5312/3 PIAST,14.03,08:08,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-14 08:08:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-14 08:02:00,2023-03-14 08:00
EIE 5312/3 PIAST,14.03,08:15,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-14 08:15:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-14 08:09:00,2023-03-14 08:00
EIE 5312/3 PIAST,14.03,08:35,0.0,0.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-14 08:35:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-14 08:15:00,2023-03-14 08:00
EIE 5312/3 PIAST,15.03,07:56,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-15 07:56:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-15 07:46:00,2023-03-15 07:00
EIE 5312/3 PIAST,15.03,08:02,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-15 08:02:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-15 07:57:00,2023-03-15 07:00
EIE 5312/3 PIAST,15.03,08:08,0.0,0.0,Gdańsk Oliwa,Gdańsk Wrzeszcz,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-15 08:08:00,"('Gdańsk Oliwa', 'Gdańsk Wrzeszcz')",6.0,27.0,0.0,False,False,2023-03-15 08:02:00,2023-03-15 08:00
EIE 5312/3 PIAST,15.03,08:15,0.0,0.0,Gdańsk Wrzeszcz,Gdańsk Główny,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-15 08:15:00,"('Gdańsk Wrzeszcz', 'Gdańsk Główny')",6.0,27.0,0.0,False,False,2023-03-15 08:09:00,2023-03-15 08:00
EIE 5312/3 PIAST,15.03,08:35,1.0,1.0,Gdańsk Główny,Tczew,"('Gdańsk Główny', 'Tczew')",2023-03-15 08:35:00,"('Gdańsk Główny', 'Tczew')",20.0,20.0,0.0,False,False,2023-03-15 08:15:00,2023-03-15 08:00
EIE 5312/3 PIAST,16.03,07:56,0.0,0.0,Gdynia Główna,Sopot,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-16 07:56:00,"('Gdynia Główna', 'Sopot')",10.0,27.0,0.0,False,False,2023-03-16 07:46:00,2023-03-16 07:00
EIE 5312/3 PIAST,16.03,08:02,0.0,0.0,Sopot,Gdańsk Oliwa,"('Gdynia Główna', 'Gdańsk Główny')",2023-03-16 08:02:00,"('Sopot', 'Gdańsk Oliwa')",5.0,27.0,0.0,False,False,2023-03-16 07:57:00,2023-03-16 07:00
